ID,Type,SKU,Name,Parent,Brand,Product URL,Main Category,Subcategories,Sale Price,Original Price,Description,Main Image,All Images,attribute:Color,attribute:Size
LOUZKX5P,variable,LOUZKX5P,PUMA x RCB Men's Retro Polo,,Puma,https://in.puma.com/in/en/pd/puma-x-rcb-mens-retro-polo/634698?swatch=01,Collections,Cricket / All Cricket,"₹2,999","₹2,999","Step up your fan game with the PUMA x RCB Men's Retro Polo - a fusion of sophistication and cricket passion. Designed for bold challengers, this polo bring a refined yet sporty look, making them perfect for match days and beyond. Regular Fit Collar neck Short sleeves > Striking Striped Pattern PUMA cat logo branding Elegant gold RCB insgnia & wordmark print on chest",,,"Flame Scarlet, For All Time Red, For All Time Red-PUMA Navy, PUMA Black, PUMA Black-Metallic Gold, PUMA Navy-Flame Scarlet, PUMA Navy-Parakeet Green, Pinkscape, Wild Green","11-12Y, 13-14Y, 5-6Y, 7-8Y, 9-10Y, L, M, OSFA, S, UK 10, UK 11, UK 6, UK 7, UK 8, UK 9, XL, XS, XXL"
,variation,LOUZKX5P-Flame Scarlet-XS,,LOUZKX5P,,https://in.puma.com/in/en/pd/puma-x-rcb-mens-retro-polo/634698?swatch=01,,,"₹2,999","₹2,999",,"https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_600,h_600/global/634698/01/mod01/fnd/IND/fmt/png/PUMA-x-RCB-Men's-Retro-Polo","https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_600,h_600/global/634698/01/mod01/fnd/IND/fmt/png/PUMA-x-RCB-Men's-Retro-Polo,https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_600,h_600/global/634698/01/mod02/fnd/IND/fmt/png/PUMA-x-RCB-Men's-Retro-Polo,https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_600,h_600/global/634698/01/mod03/fnd/IND/fmt/png/PUMA-x-RCB-Men's-Retro-Polo,https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_600,h_600/global/634698/01/mod04/fnd/IND/fmt/png/PUMA-x-RCB-Men's-Retro-Polo,https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_600,h_600/global/634698/01/mod05/fnd/IND/fmt/png/PUMA-x-RCB-Men's-Retro-Polo,https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_600,h_600/global/634698/01/fnd/IND/fmt/png/PUMA-x-RCB-Men's-Retro-Polo,https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_600,h_600/global/634698/01/bv/fnd/IND/fmt/png/PUMA-x-RCB-Men's-Retro-Polo",Flame Scarlet,XS
,variation,LOUZKX5P-Flame Scarlet-XL,,LOUZKX5P,,https://in.puma.com/in/en/pd/puma-x-rcb-mens-retro-polo/634698?swatch=01,,,"₹2,999","₹2,999",,"https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_600,h_600/global/634698/01/mod01/fnd/IND/fmt/png/PUMA-x-RCB-Men's-Retro-Polo","https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_600,h_600/global/634698/01/mod01/fnd/IND/fmt/png/PUMA-x-RCB-Men's-Retro-Polo,https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_600,h_600/global/634698/01/mod02/fnd/IND/fmt/png/PUMA-x-RCB-Men's-Retro-Polo,https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_600,h_600/global/634698/01/mod03/fnd/IND/fmt/png/PUMA-x-RCB-Men's-Retro-Polo,https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_600,h_600/global/634698/01/mod04/fnd/IND/fmt/png/PUMA-x-RCB-Men's-Retro-Polo,https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_600,h_600/global/634698/01/mod05/fnd/IND/fmt/png/PUMA-x-RCB-Men's-Retro-Polo,https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_600,h_600/global/634698/01/fnd/IND/fmt/png/PUMA-x-RCB-Men's-Retro-Polo,https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_600,h_600/global/634698/01/bv/fnd/IND/fmt/png/PUMA-x-RCB-Men's-Retro-Polo",Flame Scarlet,XL
,variation,LOUZKX5P-Wild Green-XS,,LOUZKX5P,,https://in.puma.com/in/en/pd/puma-x-rcb-mens-retro-polo/634698?swatch=01,,,"₹2,999","₹2,999",,"https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_600,h_600/global/634698/03/mod01/fnd/IND/fmt/png/PUMA-x-RCB-Men's-Retro-Polo","https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_600,h_600/global/634698/03/mod01/fnd/IND/fmt/png/PUMA-x-RCB-Men's-Retro-Polo,https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_600,h_600/global/634698/03/mod02/fnd/IND/fmt/png/PUMA-x-RCB-Men's-Retro-Polo,https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_600,h_600/global/634698/03/mod03/fnd/IND/fmt/png/PUMA-x-RCB-Men's-Retro-Polo,https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_600,h_600/global/634698/03/mod04/fnd/IND/fmt/png/PUMA-x-RCB-Men's-Retro-Polo,https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_600,h_600/global/634698/03/mod05/fnd/IND/fmt/png/PUMA-x-RCB-Men's-Retro-Polo,https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_600,h_600/global/634698/03/fnd/IND/fmt/png/PUMA-x-RCB-Men's-Retro-Polo,https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_600,h_600/global/634698/03/bv/fnd/IND/fmt/png/PUMA-x-RCB-Men's-Retro-Polo",Wild Green,XS
,variation,LOUZKX5P-Wild Green-S,,LOUZKX5P,,https://in.puma.com/in/en/pd/puma-x-rcb-mens-retro-polo/634698?swatch=01,,,"₹2,999","₹2,999",,"https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_600,h_600/global/634698/03/mod01/fnd/IND/fmt/png/PUMA-x-RCB-Men's-Retro-Polo","https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_600,h_600/global/634698/03/mod01/fnd/IND/fmt/png/PUMA-x-RCB-Men's-Retro-Polo,https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_600,h_600/global/634698/03/mod02/fnd/IND/fmt/png/PUMA-x-RCB-Men's-Retro-Polo,https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_600,h_600/global/634698/03/mod03/fnd/IND/fmt/png/PUMA-x-RCB-Men's-Retro-Polo,https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_600,h_600/global/634698/03/mod04/fnd/IND/fmt/png/PUMA-x-RCB-Men's-Retro-Polo,https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_600,h_600/global/634698/03/mod05/fnd/IND/fmt/png/PUMA-x-RCB-Men's-Retro-Polo,https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_600,h_600/global/634698/03/fnd/IND/fmt/png/PUMA-x-RCB-Men's-Retro-Polo,https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_600,h_600/global/634698/03/bv/fnd/IND/fmt/png/PUMA-x-RCB-Men's-Retro-Polo",Wild Green,S
,variation,LOUZKX5P-Wild Green-M,,LOUZKX5P,,https://in.puma.com/in/en/pd/puma-x-rcb-mens-retro-polo/634698?swatch=01,,,"₹2,999","₹2,999",,"https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_600,h_600/global/634698/03/mod01/fnd/IND/fmt/png/PUMA-x-RCB-Men's-Retro-Polo","https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_600,h_600/global/634698/03/mod01/fnd/IND/fmt/png/PUMA-x-RCB-Men's-Retro-Polo,https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_600,h_600/global/634698/03/mod02/fnd/IND/fmt/png/PUMA-x-RCB-Men's-Retro-Polo,https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_600,h_600/global/634698/03/mod03/fnd/IND/fmt/png/PUMA-x-RCB-Men's-Retro-Polo,https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_600,h_600/global/634698/03/mod04/fnd/IND/fmt/png/PUMA-x-RCB-Men's-Retro-Polo,https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_600,h_600/global/634698/03/mod05/fnd/IND/fmt/png/PUMA-x-RCB-Men's-Retro-Polo,https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_600,h_600/global/634698/03/fnd/IND/fmt/png/PUMA-x-RCB-Men's-Retro-Polo,https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_600,h_600/global/634698/03/bv/fnd/IND/fmt/png/PUMA-x-RCB-Men's-Retro-Polo",Wild Green,M
,variation,LOUZKX5P-Wild Green-L,,LOUZKX5P,,https://in.puma.com/in/en/pd/puma-x-rcb-mens-retro-polo/634698?swatch=01,,,"₹2,999","₹2,999",,"https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_600,h_600/global/634698/03/mod01/fnd/IND/fmt/png/PUMA-x-RCB-Men's-Retro-Polo","https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_600,h_600/global/634698/03/mod01/fnd/IND/fmt/png/PUMA-x-RCB-Men's-Retro-Polo,https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_600,h_600/global/634698/03/mod02/fnd/IND/fmt/png/PUMA-x-RCB-Men's-Retro-Polo,https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_600,h_600/global/634698/03/mod03/fnd/IND/fmt/png/PUMA-x-RCB-Men's-Retro-Polo,https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_600,h_600/global/634698/03/mod04/fnd/IND/fmt/png/PUMA-x-RCB-Men's-Retro-Polo,https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_600,h_600/global/634698/03/mod05/fnd/IND/fmt/png/PUMA-x-RCB-Men's-Retro-Polo,https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_600,h_600/global/634698/03/fnd/IND/fmt/png/PUMA-x-RCB-Men's-Retro-Polo,https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_600,h_600/global/634698/03/bv/fnd/IND/fmt/png/PUMA-x-RCB-Men's-Retro-Polo",Wild Green,L
,variation,LOUZKX5P-Wild Green-XL,,LOUZKX5P,,https://in.puma.com/in/en/pd/puma-x-rcb-mens-retro-polo/634698?swatch=01,,,"₹2,999","₹2,999",,"https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_600,h_600/global/634698/03/mod01/fnd/IND/fmt/png/PUMA-x-RCB-Men's-Retro-Polo","https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_600,h_600/global/634698/03/mod01/fnd/IND/fmt/png/PUMA-x-RCB-Men's-Retro-Polo,https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_600,h_600/global/634698/03/mod02/fnd/IND/fmt/png/PUMA-x-RCB-Men's-Retro-Polo,https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_600,h_600/global/634698/03/mod03/fnd/IND/fmt/png/PUMA-x-RCB-Men's-Retro-Polo,https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_600,h_600/global/634698/03/mod04/fnd/IND/fmt/png/PUMA-x-RCB-Men's-Retro-Polo,https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_600,h_600/global/634698/03/mod05/fnd/IND/fmt/png/PUMA-x-RCB-Men's-Retro-Polo,https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_600,h_600/global/634698/03/fnd/IND/fmt/png/PUMA-x-RCB-Men's-Retro-Polo,https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_600,h_600/global/634698/03/bv/fnd/IND/fmt/png/PUMA-x-RCB-Men's-Retro-Polo",Wild Green,XL
YPL73K1P,variable,YPL73K1P,PUMA x RCB 2025 Men's Official Match Jersey,,Puma,https://in.puma.com/in/en/pd/puma-x-rcb-2025-mens-official-match-jersey/607346?swatch=01,Collections,Cricket / All Cricket,"₹4,999","₹4,999","Show your support for your beloved cricket team with the PUMA x RCB 2025 Men's Official Match Jersey. This perfect replica of the official jersey proudly showcases the iconic RCB crest. Designed with a regular fit, v-neck and short sleeves for style and comfort, it's the perfect gear for serious fans. Be it cheering from the stadium stands or shouting in front of your TV, embody the true spirit of a champion. With each ball, run, and wicket, experience the thrill of victory or the agony of defeat, standing with your team, every step of the way. Regular Fit V neck Short sleeves PUMA cat logo branding RCB crest logo at chest",,,"Flame Scarlet, For All Time Red, For All Time Red-PUMA Navy, PUMA Black, PUMA Black-Metallic Gold, PUMA Navy-Flame Scarlet, PUMA Navy-Parakeet Green, Pinkscape, Wild Green","11-12Y, 13-14Y, 5-6Y, 7-8Y, 9-10Y, L, M, OSFA, S, UK 10, UK 11, UK 6, UK 7, UK 8, UK 9, XL, XS, XXL"
,variation,YPL73K1P-PUMA Navy-Flame Scarlet-XS,,YPL73K1P,,https://in.puma.com/in/en/pd/puma-x-rcb-2025-mens-official-match-jersey/607346?swatch=01,,,"₹4,999","₹4,999",,"https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_600,h_600/global/607346/01/mod01/fnd/IND/fmt/png/PUMA-x-RCB-2025-Men's-Official-Match-Jersey","https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_600,h_600/global/607346/01/mod01/fnd/IND/fmt/png/PUMA-x-RCB-2025-Men's-Official-Match-Jersey,https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_600,h_600/global/607346/01/mod02/fnd/IND/fmt/png/PUMA-x-RCB-2025-Men's-Official-Match-Jersey,https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_600,h_600/global/607346/01/mod03/fnd/IND/fmt/png/PUMA-x-RCB-2025-Men's-Official-Match-Jersey,https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_600,h_600/global/607346/01/mod04/fnd/IND/fmt/png/PUMA-x-RCB-2025-Men's-Official-Match-Jersey,https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_600,h_600/global/607346/01/mod05/fnd/IND/fmt/png/PUMA-x-RCB-2025-Men's-Official-Match-Jersey,https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_600,h_600/global/607346/01/mod06/fnd/IND/fmt/png/PUMA-x-RCB-2025-Men's-Official-Match-Jersey,https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_600,h_600/global/607346/01/mod07/fnd/IND/fmt/png/PUMA-x-RCB-2025-Men's-Official-Match-Jersey,https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_600,h_600/global/607346/01/mod08/fnd/IND/fmt/png/PUMA-x-RCB-2025-Men's-Official-Match-Jersey,https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_600,h_600/global/607346/01/mod09/fnd/IND/fmt/png/PUMA-x-RCB-2025-Men's-Official-Match-Jersey,https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_600,h_600/global/607346/01/fnd/IND/fmt/png/PUMA-x-RCB-2025-Men's-Official-Match-Jersey,https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_600,h_600/global/607346/01/bv/fnd/IND/fmt/png/PUMA-x-RCB-2025-Men's-Official-Match-Jersey,https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_600,h_600/global/607346/01/dt01/fnd/IND/fmt/png/PUMA-x-RCB-2025-Men's-Official-Match-Jersey",PUMA Navy-Flame Scarlet,XS
