ID,Type,SKU,Name,Parent,Brand,Product URL,Main Category,Subcategories,Sale Price,Original Price,Description,Main Image,All Images,attribute:Color,attribute:Size
P8T6TT1R,variable,P8T6TT1R,BMW M Motorsport Drift Cat 5 Ultra II Kid's Sneakers,,Puma,https://in.puma.com/in/en/pd/bmw-m-motorsport-drift-cat-5-ultra-ii-kids-sneakers/339802?swatch=01,Outlet,Outlet Kids / Shoes / Motorsport,"₹4,999","₹4,999","Since 2012, PUMA Motorsport and BMW Motorsport have fashioned a formidable partnership, collaborating to create an array of thrilling fanwear and street-ready collections that embody the essence of the racing lifestyle. In addition to our fashion-forward designs, we take great pride in supplying the BMW Motorsport team with cutting-edge racewear, gloves, boots, and iconic pre-race team uniforms that are meticulously engineered to maximize and enhance the wearer's comfort and safety on the track.Even if you're not behind the wheel of the ultimate driving machine, you can still move with the same class and style in BMW M Motorsport Drift Cat 5 Ultra II. Its new laser cut design is inspired by the 3D organic structure and dynamic movement in car design. Heel type: Flat Synthetic upper EVA wedge for improved cushioning Rubber outsole for grip Lace closure for a snug fit Perforated PUMA Formstrip at medial and lateral side PUMA Cat Logo at tongue Rounded driver's heel adds a distinctive design element BMW propeller logo at lateral side",,,"Alpine Snow, Archive Green, Blue Crystal, Blue Crystal-Wild Berry, Blue Horizon, Blue Horizon-PUMA White-PUMA Black, Blue Wash-AOP, Bluemazing-PUMA White, Canvas, Cast Iron, Cast Iron-Shadow Gray, Chocotart, Club Navy, Club Navy-Bright Melon-PUMA White, Club Navy-Hyperlink Blue-Yellow Burst, Clyde Royal-PUMA Team Royal-Green Lagoon, Cool Cobalt-Pro Blue, Cool Cucumber, Cool Weather, Creamy Vanilla, Creamy Vanilla-Passionfruit-Team Aqua, Dark Coal, Dark Crimson, Dark Gray Heather-Puma White, Dark Jasper, Dark Myrtle, Dark Myrtle-Creamy Vanilla-Red Fire, Dusty Orchid, Dusty Tan, Electric Peppermint-PUMA Black, Fiery Coral-Fizzy Light-Puma Black, Fizzy Apple-PUMA White-Bluemazing, Flame Flicker, Flame Scarlet, For All Time Red, For All Time Red-PUMA Black, For All Time Red-PUMA Black-PUMA White, For All Time Red-PUMA Black-Pelé Yellow, For All Time Red-PUMA Navy, Forest Night, Frosted Dew, Galactic Gray, Glowing Pink, Gray Fog, Green Moon, Hibiscus Flower-Rose Dust-Orange Peach, Icy Blue, Koral Ice-PUMA Black-PUMA White, Lapis Lazuli, Lapis Lazuli-PUMA White-Sunset Glow, Lavender Alert-Lapis Lazuli, Light Gray Heather, Lime Pow-PUMA White-PUMA Black, Limoges-Classic Green, Magic Rose, Malachite, Maple Syrup, Mauve Mist, Mauved Out, Midnight Plum, Mint, Modern Mint, Mustard Seed, New Navy, New Navy-Alpine Snow-Archive Green, New Navy-High Risk Red-PUMA Black, New Navy-High Risk Red-PUMA White, New Navy-Yellow Glow, No Color, Ocean Dive, Ocean Tropic-Lime Pow-PUMA White, PRISM PINK, PUMA Black, PUMA Black-Creamy Vanilla-Blue Crystal, PUMA Black-Fiery Coral-Fizzy Apple, PUMA Black-Fizzy Apple-PUMA White, PUMA Black-For All Time Red, PUMA Black-For All Time Red-PUMA White, PUMA Black-Green Glare, PUMA Black-High Risk Red-Fizzy Light, PUMA Black-Lime Pow-PUMA Pink, PUMA Black-Lime Sheen, PUMA Black-Metallic Gold, PUMA Black-PUMA Red-Pelé Yellow, PUMA Black-PUMA Team Royal-PUMA White, PUMA Black-PUMA White, PUMA Black-PUMA White-Silver Mist, PUMA Black-PUMA White-Spectra Green, PUMA Black-Puma Black, PUMA Black-Speed Yellow-Strong Gray, PUMA Green-Pelé Yellow-PUMA Black, PUMA Navy-Flame Scarlet, PUMA Navy-For All Time Red-PUMA White, PUMA Navy-PUMA White-Vivid Blue, PUMA Navy-Parakeet Green, PUMA Team Royal, PUMA Team Royal-Dandelion-Vibrant Orange, PUMA Team Royal-PUMA Black-PUMA White, PUMA White, PUMA White-Cool Cucumber, PUMA White-Deeva Peach, PUMA White-PUMA Black, Peaceful Blue, Peach Frost, Peacoat-Dandelion, Peacoat-Electric Blue Lemonade, Peacoat-Puma White, Pink Fruit, Pinkscape, Pistachio Green, Poison Pink-PUMA White-PUMA Black, Poppy Pink, Port, Pro Blue-PUMA White-Pop Red, Pro Green-PUMA Black, Puma Black, Puma Black-High Risk Red, Puma Black-Puma Black, Puma White-Puma White, Pure Magenta, Racing Blue-PUMA Black, Red Fire, Rickie Orange, Rose Mauve, Rose Mauve-AOP, Salmon, Shadow Gray-Feather Gray-Yellow Alert, Silver Mist-Lavender Alert-PUMA White, Silver Mist-PUMA Black, Silver Sky, Sparkling Green-Lime Sheen-PUMA White, Sugared Almond, Sun Stream-PUMA Black-Sunset Glow, Sunny Yellow, Tangerine-Spectrum Blue-Dandelion, Team Light Blue-PUMA White, Team Regal Red, Toasted Almond, Turquoise Surf-Grape Mist-PUMA White, Ultra Blue-Rickie Orange, Vapor Gray-Blue Skies-Rickie Orange, Vine, Vivid Violet, Warm White, Warm White-Clyde Royal-PUMA Black, Whisp Of Pink-Pinktastic-PUMA White, Wild Berry, Wild Green, Yellow Blaze, Yellow Sizzle","1-2Y, 1.5-2-Y, 10-Y, 11-12Y, 11-Y, 12-18M, 12-Y, 13-14Y, 13-Y, 14-Y, 15-16Y, 15-18-M, 15-18M, 2-3Y, 2-4M, 3-4Y, 3-Y, 4-5Y, 4-6M, 4-Y, 5-6Y, 5-Y, 6-7Y, 6-9M, 6-Y, 7-8Y, 7-Y, 8-Y, 9-10Y, 9-12M, 9-Y, L, M, OSFA, S, UK 10, UK 11, UK 3, UK 4, UK 6, UK 7, UK 8, UK 9, UK 9.5, XL, XS, XXL"
,variation,P8T6TT1R-Puma Black-Puma Black-11-Y,,P8T6TT1R,,https://in.puma.com/in/en/pd/bmw-m-motorsport-drift-cat-5-ultra-ii-kids-sneakers/339802?swatch=01,,,"₹4,999","₹4,999",,"https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_600,h_600/global/339802/01/sv01/fnd/IND/fmt/png/BMW-M-Motorsport-Drift-Cat-5-Ultra-II-Kid's-Sneakers","https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_600,h_600/global/339802/01/sv01/fnd/IND/fmt/png/BMW-M-Motorsport-Drift-Cat-5-Ultra-II-Kid's-Sneakers,https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_600,h_600/global/339802/01/fnd/IND/fmt/png/BMW-M-Motorsport-Drift-Cat-5-Ultra-II-Kid's-Sneakers,https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_600,h_600/global/339802/01/bv/fnd/IND/fmt/png/BMW-M-Motorsport-Drift-Cat-5-Ultra-II-Kid's-Sneakers,https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_600,h_600/global/339802/01/sv02/fnd/IND/fmt/png/BMW-M-Motorsport-Drift-Cat-5-Ultra-II-Kid's-Sneakers,https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_600,h_600/global/339802/01/sv03/fnd/IND/fmt/png/BMW-M-Motorsport-Drift-Cat-5-Ultra-II-Kid's-Sneakers,https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_600,h_600/global/339802/01/sv04/fnd/IND/fmt/png/BMW-M-Motorsport-Drift-Cat-5-Ultra-II-Kid's-Sneakers,https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_600,h_600/global/339802/01/dt01/fnd/IND/fmt/png/BMW-M-Motorsport-Drift-Cat-5-Ultra-II-Kid's-Sneakers,https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_600,h_600/global/339802/01/dt04/fnd/IND/fmt/png/BMW-M-Motorsport-Drift-Cat-5-Ultra-II-Kid's-Sneakers,https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_600,h_600/global/339802/01/dt07/fnd/IND/fmt/png/BMW-M-Motorsport-Drift-Cat-5-Ultra-II-Kid's-Sneakers",Puma Black-Puma Black,11-Y
GT2C398U,variable,GT2C398U,Mid 90s Youth Relaxed Fit Graphic Tee,,Puma,https://in.puma.com/in/en/pd/mid-90s-youth-relaxed-fit-graphic-tee/685153?swatch=87,Kids,Boys / Clothing / T-shirts and Tops,"₹1,499","₹1,499","Show off your retro vibes with this PUMA tee. Featuring a striking PUMA logo and graphic rubber prints, it's perfect for those who love to make a statement. Feel the energy and embrace your unique style with every wear. Made with at least 20% recycled cotton Relaxed fit Single jersey Regular length Crew neck Short sleeves PUMA Youth: Recommended for older kids between 8 and 16 years",,,"Alpine Snow, Archive Green, Blue Crystal, Blue Crystal-Wild Berry, Blue Horizon, Blue Horizon-PUMA White-PUMA Black, Blue Wash-AOP, Bluemazing-PUMA White, Canvas, Cast Iron, Cast Iron-Shadow Gray, Chocotart, Club Navy, Club Navy-Bright Melon-PUMA White, Club Navy-Hyperlink Blue-Yellow Burst, Clyde Royal-PUMA Team Royal-Green Lagoon, Cool Cobalt-Pro Blue, Cool Cucumber, Cool Weather, Creamy Vanilla, Creamy Vanilla-Passionfruit-Team Aqua, Dark Coal, Dark Crimson, Dark Gray Heather-Puma White, Dark Jasper, Dark Myrtle, Dark Myrtle-Creamy Vanilla-Red Fire, Dusty Orchid, Dusty Tan, Electric Peppermint-PUMA Black, Fiery Coral-Fizzy Light-Puma Black, Fizzy Apple-PUMA White-Bluemazing, Flame Flicker, Flame Scarlet, For All Time Red, For All Time Red-PUMA Black, For All Time Red-PUMA Black-PUMA White, For All Time Red-PUMA Black-Pelé Yellow, For All Time Red-PUMA Navy, Forest Night, Frosted Dew, Galactic Gray, Glowing Pink, Gray Fog, Green Moon, Hibiscus Flower-Rose Dust-Orange Peach, Icy Blue, Koral Ice-PUMA Black-PUMA White, Lapis Lazuli, Lapis Lazuli-PUMA White-Sunset Glow, Lavender Alert-Lapis Lazuli, Light Gray Heather, Lime Pow-PUMA White-PUMA Black, Limoges-Classic Green, Magic Rose, Malachite, Maple Syrup, Mauve Mist, Mauved Out, Midnight Plum, Mint, Modern Mint, Mustard Seed, New Navy, New Navy-Alpine Snow-Archive Green, New Navy-High Risk Red-PUMA Black, New Navy-High Risk Red-PUMA White, New Navy-Yellow Glow, No Color, Ocean Dive, Ocean Tropic-Lime Pow-PUMA White, PRISM PINK, PUMA Black, PUMA Black-Creamy Vanilla-Blue Crystal, PUMA Black-Fiery Coral-Fizzy Apple, PUMA Black-Fizzy Apple-PUMA White, PUMA Black-For All Time Red, PUMA Black-For All Time Red-PUMA White, PUMA Black-Green Glare, PUMA Black-High Risk Red-Fizzy Light, PUMA Black-Lime Pow-PUMA Pink, PUMA Black-Lime Sheen, PUMA Black-Metallic Gold, PUMA Black-PUMA Red-Pelé Yellow, PUMA Black-PUMA Team Royal-PUMA White, PUMA Black-PUMA White, PUMA Black-PUMA White-Silver Mist, PUMA Black-PUMA White-Spectra Green, PUMA Black-Puma Black, PUMA Black-Speed Yellow-Strong Gray, PUMA Green-Pelé Yellow-PUMA Black, PUMA Navy-Flame Scarlet, PUMA Navy-For All Time Red-PUMA White, PUMA Navy-PUMA White-Vivid Blue, PUMA Navy-Parakeet Green, PUMA Team Royal, PUMA Team Royal-Dandelion-Vibrant Orange, PUMA Team Royal-PUMA Black-PUMA White, PUMA White, PUMA White-Cool Cucumber, PUMA White-Deeva Peach, PUMA White-PUMA Black, Peaceful Blue, Peach Frost, Peacoat-Dandelion, Peacoat-Electric Blue Lemonade, Peacoat-Puma White, Pink Fruit, Pinkscape, Pistachio Green, Poison Pink-PUMA White-PUMA Black, Poppy Pink, Port, Pro Blue-PUMA White-Pop Red, Pro Green-PUMA Black, Puma Black, Puma Black-High Risk Red, Puma Black-Puma Black, Puma White-Puma White, Pure Magenta, Racing Blue-PUMA Black, Red Fire, Rickie Orange, Rose Mauve, Rose Mauve-AOP, Salmon, Shadow Gray-Feather Gray-Yellow Alert, Silver Mist-Lavender Alert-PUMA White, Silver Mist-PUMA Black, Silver Sky, Sparkling Green-Lime Sheen-PUMA White, Sugared Almond, Sun Stream-PUMA Black-Sunset Glow, Sunny Yellow, Tangerine-Spectrum Blue-Dandelion, Team Light Blue-PUMA White, Team Regal Red, Toasted Almond, Turquoise Surf-Grape Mist-PUMA White, Ultra Blue-Rickie Orange, Vapor Gray-Blue Skies-Rickie Orange, Vine, Vivid Violet, Warm White, Warm White-Clyde Royal-PUMA Black, Whisp Of Pink-Pinktastic-PUMA White, Wild Berry, Wild Green, Yellow Blaze, Yellow Sizzle","1-2Y, 1.5-2-Y, 10-Y, 11-12Y, 11-Y, 12-18M, 12-Y, 13-14Y, 13-Y, 14-Y, 15-16Y, 15-18-M, 15-18M, 2-3Y, 2-4M, 3-4Y, 3-Y, 4-5Y, 4-6M, 4-Y, 5-6Y, 5-Y, 6-7Y, 6-9M, 6-Y, 7-8Y, 7-Y, 8-Y, 9-10Y, 9-12M, 9-Y, L, M, OSFA, S, UK 10, UK 11, UK 3, UK 4, UK 6, UK 7, UK 8, UK 9, UK 9.5, XL, XS, XXL"
,variation,GT2C398U-Dark Myrtle-7-8Y,,GT2C398U,,https://in.puma.com/in/en/pd/mid-90s-youth-relaxed-fit-graphic-tee/685153?swatch=87,,,"₹1,499","₹1,499",,"https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_600,h_600/global/685153/60/mod01/fnd/IND/fmt/png/Mid-90s-Youth-Relaxed-Fit-Graphic-Tee","https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_600,h_600/global/685153/60/mod01/fnd/IND/fmt/png/Mid-90s-Youth-Relaxed-Fit-Graphic-Tee,https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_600,h_600/global/685153/60/mod02/fnd/IND/fmt/png/Mid-90s-Youth-Relaxed-Fit-Graphic-Tee,https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_600,h_600/global/685153/60/mod03/fnd/IND/fmt/png/Mid-90s-Youth-Relaxed-Fit-Graphic-Tee,https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_600,h_600/global/685153/60/fnd/IND/fmt/png/Mid-90s-Youth-Relaxed-Fit-Graphic-Tee,https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_600,h_600/global/685153/60/bv/fnd/IND/fmt/png/Mid-90s-Youth-Relaxed-Fit-Graphic-Tee,https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_600,h_600/global/685153/60/dt01/fnd/IND/fmt/png/Mid-90s-Youth-Relaxed-Fit-Graphic-Tee,https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_600,h_600/global/685153/60/dt02/fnd/IND/fmt/png/Mid-90s-Youth-Relaxed-Fit-Graphic-Tee",Dark Myrtle,7-8Y
,variation,GT2C398U-Dark Myrtle-9-10Y,,GT2C398U,,https://in.puma.com/in/en/pd/mid-90s-youth-relaxed-fit-graphic-tee/685153?swatch=87,,,"₹1,499","₹1,499",,"https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_600,h_600/global/685153/60/mod01/fnd/IND/fmt/png/Mid-90s-Youth-Relaxed-Fit-Graphic-Tee","https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_600,h_600/global/685153/60/mod01/fnd/IND/fmt/png/Mid-90s-Youth-Relaxed-Fit-Graphic-Tee,https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_600,h_600/global/685153/60/mod02/fnd/IND/fmt/png/Mid-90s-Youth-Relaxed-Fit-Graphic-Tee,https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_600,h_600/global/685153/60/mod03/fnd/IND/fmt/png/Mid-90s-Youth-Relaxed-Fit-Graphic-Tee,https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_600,h_600/global/685153/60/fnd/IND/fmt/png/Mid-90s-Youth-Relaxed-Fit-Graphic-Tee,https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_600,h_600/global/685153/60/bv/fnd/IND/fmt/png/Mid-90s-Youth-Relaxed-Fit-Graphic-Tee,https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_600,h_600/global/685153/60/dt01/fnd/IND/fmt/png/Mid-90s-Youth-Relaxed-Fit-Graphic-Tee,https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_600,h_600/global/685153/60/dt02/fnd/IND/fmt/png/Mid-90s-Youth-Relaxed-Fit-Graphic-Tee",Dark Myrtle,9-10Y
,variation,GT2C398U-Dark Myrtle-11-12Y,,GT2C398U,,https://in.puma.com/in/en/pd/mid-90s-youth-relaxed-fit-graphic-tee/685153?swatch=87,,,"₹1,499","₹1,499",,"https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_600,h_600/global/685153/60/mod01/fnd/IND/fmt/png/Mid-90s-Youth-Relaxed-Fit-Graphic-Tee","https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_600,h_600/global/685153/60/mod01/fnd/IND/fmt/png/Mid-90s-Youth-Relaxed-Fit-Graphic-Tee,https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_600,h_600/global/685153/60/mod02/fnd/IND/fmt/png/Mid-90s-Youth-Relaxed-Fit-Graphic-Tee,https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_600,h_600/global/685153/60/mod03/fnd/IND/fmt/png/Mid-90s-Youth-Relaxed-Fit-Graphic-Tee,https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_600,h_600/global/685153/60/fnd/IND/fmt/png/Mid-90s-Youth-Relaxed-Fit-Graphic-Tee,https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_600,h_600/global/685153/60/bv/fnd/IND/fmt/png/Mid-90s-Youth-Relaxed-Fit-Graphic-Tee,https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_600,h_600/global/685153/60/dt01/fnd/IND/fmt/png/Mid-90s-Youth-Relaxed-Fit-Graphic-Tee,https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_600,h_600/global/685153/60/dt02/fnd/IND/fmt/png/Mid-90s-Youth-Relaxed-Fit-Graphic-Tee",Dark Myrtle,11-12Y
,variation,GT2C398U-Dark Myrtle-13-14Y,,GT2C398U,,https://in.puma.com/in/en/pd/mid-90s-youth-relaxed-fit-graphic-tee/685153?swatch=87,,,"₹1,499","₹1,499",,"https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_600,h_600/global/685153/60/mod01/fnd/IND/fmt/png/Mid-90s-Youth-Relaxed-Fit-Graphic-Tee","https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_600,h_600/global/685153/60/mod01/fnd/IND/fmt/png/Mid-90s-Youth-Relaxed-Fit-Graphic-Tee,https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_600,h_600/global/685153/60/mod02/fnd/IND/fmt/png/Mid-90s-Youth-Relaxed-Fit-Graphic-Tee,https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_600,h_600/global/685153/60/mod03/fnd/IND/fmt/png/Mid-90s-Youth-Relaxed-Fit-Graphic-Tee,https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_600,h_600/global/685153/60/fnd/IND/fmt/png/Mid-90s-Youth-Relaxed-Fit-Graphic-Tee,https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_600,h_600/global/685153/60/bv/fnd/IND/fmt/png/Mid-90s-Youth-Relaxed-Fit-Graphic-Tee,https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_600,h_600/global/685153/60/dt01/fnd/IND/fmt/png/Mid-90s-Youth-Relaxed-Fit-Graphic-Tee,https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_600,h_600/global/685153/60/dt02/fnd/IND/fmt/png/Mid-90s-Youth-Relaxed-Fit-Graphic-Tee",Dark Myrtle,13-14Y
,variation,GT2C398U-Dark Myrtle-15-16Y,,GT2C398U,,https://in.puma.com/in/en/pd/mid-90s-youth-relaxed-fit-graphic-tee/685153?swatch=87,,,"₹1,499","₹1,499",,"https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_600,h_600/global/685153/60/mod01/fnd/IND/fmt/png/Mid-90s-Youth-Relaxed-Fit-Graphic-Tee","https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_600,h_600/global/685153/60/mod01/fnd/IND/fmt/png/Mid-90s-Youth-Relaxed-Fit-Graphic-Tee,https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_600,h_600/global/685153/60/mod02/fnd/IND/fmt/png/Mid-90s-Youth-Relaxed-Fit-Graphic-Tee,https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_600,h_600/global/685153/60/mod03/fnd/IND/fmt/png/Mid-90s-Youth-Relaxed-Fit-Graphic-Tee,https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_600,h_600/global/685153/60/fnd/IND/fmt/png/Mid-90s-Youth-Relaxed-Fit-Graphic-Tee,https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_600,h_600/global/685153/60/bv/fnd/IND/fmt/png/Mid-90s-Youth-Relaxed-Fit-Graphic-Tee,https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_600,h_600/global/685153/60/dt01/fnd/IND/fmt/png/Mid-90s-Youth-Relaxed-Fit-Graphic-Tee,https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_600,h_600/global/685153/60/dt02/fnd/IND/fmt/png/Mid-90s-Youth-Relaxed-Fit-Graphic-Tee",Dark Myrtle,15-16Y
,variation,GT2C398U-Alpine Snow-7-8Y,,GT2C398U,,https://in.puma.com/in/en/pd/mid-90s-youth-relaxed-fit-graphic-tee/685153?swatch=87,,,"₹1,499","₹1,499",,"https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_600,h_600/global/685153/87/mod01/fnd/IND/fmt/png/Mid-90s-Youth-Relaxed-Fit-Graphic-Tee","https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_600,h_600/global/685153/87/mod01/fnd/IND/fmt/png/Mid-90s-Youth-Relaxed-Fit-Graphic-Tee,https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_600,h_600/global/685153/87/mod02/fnd/IND/fmt/png/Mid-90s-Youth-Relaxed-Fit-Graphic-Tee,https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_600,h_600/global/685153/87/mod03/fnd/IND/fmt/png/Mid-90s-Youth-Relaxed-Fit-Graphic-Tee,https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_600,h_600/global/685153/87/fnd/IND/fmt/png/Mid-90s-Youth-Relaxed-Fit-Graphic-Tee,https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_600,h_600/global/685153/87/bv/fnd/IND/fmt/png/Mid-90s-Youth-Relaxed-Fit-Graphic-Tee,https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_600,h_600/global/685153/87/dt01/fnd/IND/fmt/png/Mid-90s-Youth-Relaxed-Fit-Graphic-Tee,https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_600,h_600/global/685153/87/dt02/fnd/IND/fmt/png/Mid-90s-Youth-Relaxed-Fit-Graphic-Tee",Alpine Snow,7-8Y
,variation,GT2C398U-Alpine Snow-9-10Y,,GT2C398U,,https://in.puma.com/in/en/pd/mid-90s-youth-relaxed-fit-graphic-tee/685153?swatch=87,,,"₹1,499","₹1,499",,"https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_600,h_600/global/685153/87/mod01/fnd/IND/fmt/png/Mid-90s-Youth-Relaxed-Fit-Graphic-Tee","https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_600,h_600/global/685153/87/mod01/fnd/IND/fmt/png/Mid-90s-Youth-Relaxed-Fit-Graphic-Tee,https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_600,h_600/global/685153/87/mod02/fnd/IND/fmt/png/Mid-90s-Youth-Relaxed-Fit-Graphic-Tee,https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_600,h_600/global/685153/87/mod03/fnd/IND/fmt/png/Mid-90s-Youth-Relaxed-Fit-Graphic-Tee,https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_600,h_600/global/685153/87/fnd/IND/fmt/png/Mid-90s-Youth-Relaxed-Fit-Graphic-Tee,https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_600,h_600/global/685153/87/bv/fnd/IND/fmt/png/Mid-90s-Youth-Relaxed-Fit-Graphic-Tee,https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_600,h_600/global/685153/87/dt01/fnd/IND/fmt/png/Mid-90s-Youth-Relaxed-Fit-Graphic-Tee,https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_600,h_600/global/685153/87/dt02/fnd/IND/fmt/png/Mid-90s-Youth-Relaxed-Fit-Graphic-Tee",Alpine Snow,9-10Y
